iter	Passed	Remaining
0	216	21466
1	290	14219
2	362	11732
3	434	10429
4	507	9650
5	585	9170
6	665	8845
7	734	8444
8	803	8126
9	871	7841
10	938	7591
11	1004	7364
12	1070	7162
13	1134	6968
14	1201	6808
15	1267	6652
16	1334	6517
17	1400	6378
18	1465	6248
19	1532	6129
20	1598	6014
21	1665	5905
22	1732	5800
23	1798	5695
24	1870	5611
25	1935	5507
26	2001	5410
27	2069	5321
28	2136	5231
29	2202	5140
30	2269	5052
31	2337	4966
32	2406	4886
33	2471	4798
34	2539	4716
35	2607	4635
36	2675	4556
37	2742	4473
38	2808	4392
39	2874	4311
40	2945	4238
41	3010	4157
42	3079	4082
43	3146	4004
44	3214	3929
45	3281	3852
46	3350	3777
47	3413	3698
48	3479	3621
49	3546	3546
50	3615	3474
51	3683	3399
52	3751	3327
53	3818	3252
54	3887	3180
55	3951	3104
56	4018	3031
57	4088	2960
58	4155	2887
59	4221	2814
60	4291	2743
61	4357	2670
62	4424	2598
63	4491	2526
64	4559	2454
65	4624	2382
66	4691	2310
67	4759	2239
68	4828	2169
69	4896	2098
70	4963	2027
71	5030	1956
72	5096	1884
73	5162	1813
74	5230	1743
75	5297	1672
76	5364	1602
77	5430	1531
78	5495	1460
79	5560	1390
80	5627	1320
81	5694	1250
82	5761	1180
83	5828	1110
84	5896	1040
85	5961	970
86	6031	901
87	6096	831
88	6169	762
89	6233	692
90	6301	623
91	6366	553
92	6434	484
93	6498	414
94	6565	345
95	6631	276
96	6700	207
97	6767	138
98	6835	69
99	6903	0
